shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,cost,time,status,seed
7168,25600,6.0,1,16,16,4,4,10,0.9,-922.1312712316668,0.1,SUCCESS,1
6656,13312,7.0,1,64,2,8,4,5,0.9,-813.9472182158753,0.1,SUCCESS,1
5632,7168,1.5,1,64,16,8,4,10,0.9,-912.6812984332277,0.1,SUCCESS,1
7680,13312,2.0,1,64,2,8,10,10,0.9,-947.8156517993764,0.1,SUCCESS,1
1536,17408,2.0,100,64,16,8,4,10,0.9,-488.0695501365342,0.1,SUCCESS,1
5632,7168,7.0,1,64,1,4,10,10,0.9,-919.8729060554348,0.1,SUCCESS,1
5632,6144,7.0,1,24,1,8,4,10,0.9,-925.1629412502688,0.1,SUCCESS,1
5632,13312,7.0,1,64,1,8,10,5,0.9,-814.7628484761099,0.1,SUCCESS,1
5632,13312,7.0,1,20,1,4,4,10,0.9,-919.9627047571072,0.1,SUCCESS,1
7680,25600,7.0,200,16,2,8,4,10,0.9,-906.7971969879826,0.1,SUCCESS,1
7680,14336,1.0,400,32,1,4,4,10,0.9,-747.9069865452423,0.1,SUCCESS,1
7680,23552,7.5,100,16,4,8,4,10,0.9,-897.6131293193332,0.1,SUCCESS,1
5632,9216,1.1,1,64,2,8,4,10,0.9,-923.4409120531484,0.1,SUCCESS,1
7680,11264,4.5,1,64,2,8,4,5,0.9,-815.7757569611293,0.1,SUCCESS,1
5120,23552,7.0,100,64,1,8,10,5,0.9,-828.3576084447626,0.1,SUCCESS,1
5632,13312,1.5,100,64,2,8,4,10,0.9,-901.5371301869562,0.1,SUCCESS,1
6144,19456,7.5,1,16,16,8,10,10,0.9,-955.1132899855166,0.1,SUCCESS,1
7680,13312,2.0,1,64,2,8,4,10,0.9,-912.5791790002072,0.1,SUCCESS,1
6656,23552,7.5,1,16,16,8,4,10,0.9,-932.9210358332364,0.1,SUCCESS,1
640,21504,3.0,100,24,2,8,10,10,0.9,-426.0098684524127,0.1,SUCCESS,1
1280,6144,5.5,1,16,8,8,10,10,0.9,-459.94835326375465,0.1,SUCCESS,1
6144,15360,7.0,1,16,16,8,4,10,0.9,-913.321207213736,0.1,SUCCESS,1
7680,10240,4.5,100,24,16,8,4,10,0.9,-819.8492717174687,0.1,SUCCESS,1
7168,11264,6.0,300,20,16,8,4,10,0.9,-927.495821688528,0.1,SUCCESS,1
6144,10240,0.1,1,64,16,8,4,10,0.9,-872.6412289861862,0.1,SUCCESS,1
7168,9216,2.5,1,24,16,4,10,10,0.9,-913.2498041307482,0.1,SUCCESS,1
5120,23552,6.0,100,20,16,8,4,10,0.9,-859.7164699229667,0.1,SUCCESS,1
5120,12288,1.5,200,32,1,4,4,10,0.9,-877.7764360674821,0.1,SUCCESS,1
7168,14336,7.5,300,16,16,8,4,10,0.9,-899.0597193686212,0.1,SUCCESS,1
5632,15360,6.5,1,64,1,8,4,10,0.9,-913.6670995475152,0.1,SUCCESS,1
